J1,J2,J3,J4
0.1885283478147175,0.0065509243263473845,0.1334106995939816,0.1630745499238449
0.1885283478147175,0.0065509243263473845,0.1334106995939816,0.1630745499238449
0.2226132113814523,0.0,0.12457750848486349,0.18200962566735965
0.15831230566100896,0.010368273431301069,0.5660525528166929,0.13899182345372446
0.17786016762846302,0.0,0.418354868463338,0.16103449362732272
0.2167406637165008,0.0,0.30817941020744655,0.16523584867732527
0.17435115263199596,0.038628239897145436,0.1776662857123056,0.15657786395373732
0.19447920976660926,0.0,0.33622835610482005,0.17250821815547393
0.1885283478147175,0.0065509243263473845,0.1334106995939816,0.1630745499238449
0.18877397714869182,0.0,0.40453611407329504,0.16499800360763167
0.16293974472159878,0.0,0.5007168800618822,0.13831658182484985
0.1885283478147175,0.0065509243263473845,0.1334106995939816,0.1630745499238449
0.2386877170112427,0.0,0.25006322712157825,0.1551046135480601
0.144819380640269,0.0,0.5022415442396562,0.17340392885725925
0.1698772325191712,0.03205790632996655,0.776014899329015,0.13405458573605508
0.1885283478147175,0.0065509243263473845,0.1334106995939816,0.1630745499238449
0.24057795325825582,0.0,0.19972012789124105,0.17680426499115223
0.23184183184359153,0.0,0.24235285756649322,0.1923545109781078
0.26408544350473695,0.0,0.19166173264596315,0.19384185479967858
0.23236955502068357,0.0,0.2534665290171456,0.1846797897608407
0.23179856235645602,0.0,0.42079652132015877,0.16185318654889158
0.23305091047926352,0.0,0.3889023864391701,0.17519806864518653
0.1974237203560173,0.0,0.49060509047899153,0.1709509494079319
0.2074161061013854,0.0,0.4502955477397152,0.16984064886878927
0.18088736993142285,0.00842518533088969,0.5409380197657329,0.16729722428008753
0.18876167040576497,0.0,0.55485820928093,0.14692573383907634
0.17557348191419686,0.03252436658253618,0.6562963442366481,0.14240623291922191
0.1633868758835164,0.0,0.6895514653794226,0.16259918534096998
0.17883973390900787,0.006532692439246351,0.795145504267341,0.14224745478535591
0.18038048331090983,0.009505911725934011,0.6895178870813012,0.15861094912598023
0.16763322246553625,0.0,0.785439602532626,0.15209121386147756
0.18370728304502404,0.0,0.8201044863772851,0.14970309732047396
0.16490539148071548,0.018308832534206555,0.6176701424364949,0.17163527671021545
0.16922198698712032,0.0,0.6606895089868325,0.16186013636877614
0.160758546301914,0.0,0.7228415641604313,0.19149097197126624
0.22238475971339866,0.03284759566479332,0.396532366039615,0.18728396007736184
0.2698815127916747,0.0,0.2660131040443313,0.18014669233030764
0.2672872610903344,0.005676294894096368,0.3039108518598723,0.2086244644716983
0.28147839680908027,0.0,0.7781343928942837,0.14824578991169485
0.163742404909899,0.0,0.7197708461672454,0.1864658377757597
0.18736355390267712,0.034984761327643714,0.6892902964729253,0.16777956094393606
0.23372350758825777,0.01884638350020376,0.6526393542411293,0.1742496077762913
0.20558277454913376,0.010858464349027097,0.5367866883527508,0.17827565920132354
0.20773391789453088,0.019065429759916017,0.6765289416430378,0.1630766169854549
0.2717720114622657,0.0,0.35495682781831606,0.19315968422444157
0.2589325927792221,0.0,0.4556369015445075,0.17601780024865787
0.22085147504531866,0.0,0.61834650070896,0.1750920704922869
0.21717793890031567,0.0,0.465666875601111,0.20047814742540834
0.2104899685021373,0.0035638276592969797,0.8172189460679256,0.16689115695339263
0.1903481364980626,0.00837440418589288,0.6590152027976595,0.18340173966782164
